offshore_f,40
offshore_g,40
onshore_V90,30
onshore_V110,30
pv_g_EW,30
pv_g_S,30
pv_c,30
river,60
lake,70
small_hydro,25
nuc,60
ocgt,30
ccgt,40
phs,50
electrolysis,20
hydrogen,40
h2_ccgt,40
methanization,20
battery1,15
battery4,15
methane,30
methanation,20
pyrogazification,20
waste,30
biomass_coge,30
geothermal_coge,30
