offshore_f,2
offshore_g,2
onshore_V90,1
onshore_V110,1
pv_g_EW,0.5
pv_g_S,0.5
pv_c,0.5
river,1
lake,1
small_hydro,0
nuc,10
ocgt,1
ccgt,2
phs,4
electrolysis,2
hydrogen,3
h2_ccgt,2
methanization,2
battery1,0.5
battery4,0.5
methane,0
methanation,2
pyrogazification,2
waste,0
biomass_coge,0
geothermal_coge,0
